,SRS011061,SRS011134,SRS012902,SRS054956
Bacteroides_cellulosilyticus_DSM_14838_2obut,198.690096,6.0643768,0.0,0.0
Bacteroides_cellulosilyticus_DSM_14838_ac,198.690096,6.0643768,0.0,0.0
Bacteroides_cellulosilyticus_DSM_14838_acgal,23.0,6.0643768,0.0,0.0
Bacteroides_cellulosilyticus_DSM_14838_acgalglcur,10.0,6.0643768,0.0,0.0
Bacteroides_cellulosilyticus_DSM_14838_acgalidour2s,2.0,2.0,0.0,0.0
Bacteroides_cellulosilyticus_DSM_14838_acgalidour,2.0,2.0,0.0,0.0
Bacteroides_cellulosilyticus_DSM_14838_acgam,162.4571058805514,6.0643768,0.0,0.0
Bacteroides_cellulosilyticus_DSM_14838_adn,159.91688857981302,6.0585034571335745,0.0,0.0
Bacteroides_cellulosilyticus_DSM_14838_ala_L,187.6793668140876,6.0591316992803606,0.0,0.0
Bacteroides_cellulosilyticus_DSM_14838_arab_L,1.0,1.0,0.0,0.0
Bacteroides_cellulosilyticus_DSM_14838_arg_L,0.12510025169400002,0.0038182832427000003,0.0,0.0
Bacteroides_cellulosilyticus_DSM_14838_asn_L,198.690096,6.0643768,0.0,0.0
Bacteroides_cellulosilyticus_DSM_14838_btn,0.01786663279938,0.01786663279938,0.0,0.0
Bacteroides_cellulosilyticus_DSM_14838_ca2,1.9395630446281294e-07,5.91989302274143e-09,0.0,0.0
Bacteroides_cellulosilyticus_DSM_14838_chtbs,0.1,0.1,0.0,0.0
Bacteroides_cellulosilyticus_DSM_14838_cl,1.9395630446281294e-07,5.91989302274143e-09,0.0,0.0
Bacteroides_cellulosilyticus_DSM_14838_co2,198.690096,6.0643768,0.0,0.0
Bacteroides_cellulosilyticus_DSM_14838_cobalt2,1.9395630446281294e-07,5.91989302274143e-09,0.0,0.0
Bacteroides_cellulosilyticus_DSM_14838_cspg_a,1.0,1.0,0.0,0.0
Bacteroides_cellulosilyticus_DSM_14838_cspg_a_degr,6.0,6.0,0.0,0.0
Bacteroides_cellulosilyticus_DSM_14838_cspg_ab_rest,2.0,2.0,0.0,0.0
Bacteroides_cellulosilyticus_DSM_14838_cspg_b,1.0,1.0,0.0,0.0
Bacteroides_cellulosilyticus_DSM_14838_cspg_b_degr,2.0,2.0,0.0,0.0
Bacteroides_cellulosilyticus_DSM_14838_cspg_c,1.0,1.0,0.0,0.0
Bacteroides_cellulosilyticus_DSM_14838_cspg_c_degr,4.0,4.0,0.0,0.0
Bacteroides_cellulosilyticus_DSM_14838_cspg_c_rest,1.0,1.0,0.0,0.0
Bacteroides_cellulosilyticus_DSM_14838_cu2,1.9395630446281294e-07,5.91989302274143e-09,0.0,0.0
Bacteroides_cellulosilyticus_DSM_14838_cytd,195.93634347046878,6.061887934278454,0.0,0.0
Bacteroides_cellulosilyticus_DSM_14838_dad_2,61.863576033308085,3.0321884,0.0,0.0
Bacteroides_cellulosilyticus_DSM_14838_dcyt,189.2425616,6.0643768,0.0,0.0
Bacteroides_cellulosilyticus_DSM_14838_ddca,34.398936044092785,3.0321884,0.0,0.0
Bacteroides_cellulosilyticus_DSM_14838_dgsn,0.1,0.1,0.0,0.0
Bacteroides_cellulosilyticus_DSM_14838_duri,0.1,0.1,0.0,0.0
Bacteroides_cellulosilyticus_DSM_14838_fe2,0.001939757000932463,5.9204850120422745e-05,0.0,0.0
Bacteroides_cellulosilyticus_DSM_14838_fe3,0.0019395630446280001,5.91989302274e-05,0.0,0.0
Bacteroides_cellulosilyticus_DSM_14838_for,198.690096,6.0643768,0.0,0.0
Bacteroides_cellulosilyticus_DSM_14838_fru,198.690096,6.0643768,0.0,0.0
Bacteroides_cellulosilyticus_DSM_14838_gal,9.256688744093125,3.0321884,0.0,0.0
Bacteroides_cellulosilyticus_DSM_14838_gam26s,2.0,2.0,0.0,0.0
Bacteroides_cellulosilyticus_DSM_14838_gam,8.1,5.208337200000001,0.0,0.0
Bacteroides_cellulosilyticus_DSM_14838_gcald,0.0006288361671899778,0.00035945961777006374,0.0,0.0
Bacteroides_cellulosilyticus_DSM_14838_glc_D,99.345048,3.0321884,0.0,0.0
Bacteroides_cellulosilyticus_DSM_14838_glcur,18.0,6.0643768,0.0,0.0
Bacteroides_cellulosilyticus_DSM_14838_gsn,53.45243343455534,2.515847443065799,0.0,0.0
Bacteroides_cellulosilyticus_DSM_14838_h2,198.690096,6.0643768,0.0,0.0
Bacteroides_cellulosilyticus_DSM_14838_h2o,198.690096,6.0643768,0.0,0.0
Bacteroides_cellulosilyticus_DSM_14838_h,198.690096,6.0643768,0.0,0.0
Bacteroides_cellulosilyticus_DSM_14838_ha,1.0,1.0,0.0,0.0
Bacteroides_cellulosilyticus_DSM_14838_ha_deg1,2.0,2.0,0.0,0.0
Bacteroides_cellulosilyticus_DSM_14838_ha_pre1,2.0,2.0,0.0,0.0
Bacteroides_cellulosilyticus_DSM_14838_hdca,173.03068410571552,6.057855345056207,0.0,0.0
Bacteroides_cellulosilyticus_DSM_14838_hspg,1.0,1.0,0.0,0.0
Bacteroides_cellulosilyticus_DSM_14838_hspg_degr_10,2.0,2.0,0.0,0.0
Bacteroides_cellulosilyticus_DSM_14838_hspg_degr_11,2.0,2.0,0.0,0.0
Bacteroides_cellulosilyticus_DSM_14838_hspg_degr_12,2.0,2.0,0.0,0.0
Bacteroides_cellulosilyticus_DSM_14838_hspg_degr_13,1.0,1.0,0.0,0.0
Bacteroides_cellulosilyticus_DSM_14838_hspg_degr_1,2.0,2.0,0.0,0.0
Bacteroides_cellulosilyticus_DSM_14838_hspg_degr_2,2.0,2.0,0.0,0.0
Bacteroides_cellulosilyticus_DSM_14838_hspg_degr_3,2.0,2.0,0.0,0.0
Bacteroides_cellulosilyticus_DSM_14838_hspg_degr_4,2.0,2.0,0.0,0.0
Bacteroides_cellulosilyticus_DSM_14838_hspg_degr_5,2.0,2.0,0.0,0.0
Bacteroides_cellulosilyticus_DSM_14838_hspg_degr_6,2.0,2.0,0.0,0.0
Bacteroides_cellulosilyticus_DSM_14838_hspg_degr_7,2.0,2.0,0.0,0.0
Bacteroides_cellulosilyticus_DSM_14838_hspg_degr_8,2.0,2.0,0.0,0.0
