,SRS011061,SRS011134,SRS012902,SRS054956
Bacteroides_cellulosilyticus_DSM_14838_12ppd_S,0,0,0,0
Bacteroides_cellulosilyticus_DSM_14838_2obut,198.6904,6.0644,0,0
Bacteroides_cellulosilyticus_DSM_14838_Tyr_ggn,0,0,0,0
Bacteroides_cellulosilyticus_DSM_14838_ac,198.6904,6.0644,0,0
Bacteroides_cellulosilyticus_DSM_14838_acgal,23,6.0644,0,0
Bacteroides_cellulosilyticus_DSM_14838_acgalglcur,10,6.0644,0,0
Bacteroides_cellulosilyticus_DSM_14838_acgalidour2s,2,2,0,0
Bacteroides_cellulosilyticus_DSM_14838_acgalidour,2,2,0,0
Bacteroides_cellulosilyticus_DSM_14838_acgam,162.4573,6.0644,0,0
Bacteroides_cellulosilyticus_DSM_14838_adn,159.9169,6.0585,0,0
Bacteroides_cellulosilyticus_DSM_14838_adocbl,0,0,0,0
Bacteroides_cellulosilyticus_DSM_14838_ala_L,187.6796,6.0591,0,0
Bacteroides_cellulosilyticus_DSM_14838_amylopect900,0,0,0,0
Bacteroides_cellulosilyticus_DSM_14838_amylose300,0,0,0,0
Bacteroides_cellulosilyticus_DSM_14838_arab_L,1,1,0,0
Bacteroides_cellulosilyticus_DSM_14838_arabinan101,0,0,0,0
Bacteroides_cellulosilyticus_DSM_14838_arabinogal,0,0,0,0
Bacteroides_cellulosilyticus_DSM_14838_arabinoxyl,0,0,0,0
Bacteroides_cellulosilyticus_DSM_14838_arabttr,0,0,0,0
Bacteroides_cellulosilyticus_DSM_14838_arg_L,0.1251,0.0038183,0,0
Bacteroides_cellulosilyticus_DSM_14838_asn_L,198.6904,6.0644,0,0
Bacteroides_cellulosilyticus_DSM_14838_bglc,0,0,0,0
Bacteroides_cellulosilyticus_DSM_14838_btn,0.017867,0.017867,0,0
Bacteroides_cellulosilyticus_DSM_14838_ca2,2e-07,6e-09,0,0
Bacteroides_cellulosilyticus_DSM_14838_cbl1,0,0,0,0
Bacteroides_cellulosilyticus_DSM_14838_cbl2,0,0,0,0
Bacteroides_cellulosilyticus_DSM_14838_cd2,0,0,0,0
Bacteroides_cellulosilyticus_DSM_14838_cellb,0,0,0,0
Bacteroides_cellulosilyticus_DSM_14838_chtbs,0.1,0.1,0,0
Bacteroides_cellulosilyticus_DSM_14838_cl,2e-07,6e-09,0,0
Bacteroides_cellulosilyticus_DSM_14838_co2,198.6904,6.0644,0,0
Bacteroides_cellulosilyticus_DSM_14838_cobalt2,2e-07,6e-09,0,0
