,SRS011061,SRS011134,SRS012902,SRS054956
Bacteroides_cellulosilyticus_DSM_14838_2obut,99.3452,3.0322,0,0
Bacteroides_cellulosilyticus_DSM_14838_ac,99.3452,3.0322,0,0
Bacteroides_cellulosilyticus_DSM_14838_acgal,17,3.0322,0,0
Bacteroides_cellulosilyticus_DSM_14838_acgalglcur,5,3.0322,0,0
Bacteroides_cellulosilyticus_DSM_14838_acgalidour2s,1,1,0,0
Bacteroides_cellulosilyticus_DSM_14838_acgalidour,1,1,0,0
Bacteroides_cellulosilyticus_DSM_14838_acgam,63.1121,3.0322,0,0
Bacteroides_cellulosilyticus_DSM_14838_adn,62.2523,3.0322,0,0
Bacteroides_cellulosilyticus_DSM_14838_ala_L,88.5062,3.0322,0,0
Bacteroides_cellulosilyticus_DSM_14838_arab_L,1,1,0,0
Bacteroides_cellulosilyticus_DSM_14838_arg_L,0.1251,0.0038183,0,0
Bacteroides_cellulosilyticus_DSM_14838_asn_L,99.3452,3.0322,0,0
Bacteroides_cellulosilyticus_DSM_14838_btn,0.017867,0.017867,0,0
Bacteroides_cellulosilyticus_DSM_14838_ca2,0.0019396,5.9199e-05,0,0
Bacteroides_cellulosilyticus_DSM_14838_chtbs,0.1,0.1,0,0
Bacteroides_cellulosilyticus_DSM_14838_cl,0.0019396,5.9199e-05,0,0
Bacteroides_cellulosilyticus_DSM_14838_co2,99.3452,3.0322,0,0
Bacteroides_cellulosilyticus_DSM_14838_cobalt2,0.0019396,5.9199e-05,0,0
Bacteroides_cellulosilyticus_DSM_14838_cspg_a,1,1,0,0
Bacteroides_cellulosilyticus_DSM_14838_cspg_a_degr,3,3,0,0
Bacteroides_cellulosilyticus_DSM_14838_cspg_b,1,1,0,0
Bacteroides_cellulosilyticus_DSM_14838_cspg_b_degr,1,1,0,0
Bacteroides_cellulosilyticus_DSM_14838_cspg_c,1,1,0,0
Bacteroides_cellulosilyticus_DSM_14838_cspg_c_degr,2,2,0,0
Bacteroides_cellulosilyticus_DSM_14838_cu2,0.0019396,5.9199e-05,0,0
Bacteroides_cellulosilyticus_DSM_14838_cytd,99.3452,3.0322,0,0
Bacteroides_cellulosilyticus_DSM_14838_dcyt,89.8975,3.0322,0,0
Bacteroides_cellulosilyticus_DSM_14838_ddca,34.3989,3.0322,0,0
Bacteroides_cellulosilyticus_DSM_14838_dgsn,0.1,0.1,0,0
Bacteroides_cellulosilyticus_DSM_14838_duri,0.1,0.1,0,0
Bacteroides_cellulosilyticus_DSM_14838_fe2,0.0038791,0.0001184,0,0
Bacteroides_cellulosilyticus_DSM_14838_fe3,0.0019396,5.9199e-05,0,0
Bacteroides_cellulosilyticus_DSM_14838_for,99.3452,3.0322,0,0
Bacteroides_cellulosilyticus_DSM_14838_fru,99.3452,3.0322,0,0
Bacteroides_cellulosilyticus_DSM_14838_gal,9.2567,3.0322,0,0
Bacteroides_cellulosilyticus_DSM_14838_gam26s,1,1,0,0
