Net secretion,SRS011061,SRS012902,SRS011134,SRS054956
EX_12dgr180[fe],0,0,0,0
EX_12ppd_S[fe],0,0,0,0
EX_26dap_M[fe],106.691988260054,109.973277070196,20.0736811829861,0.0753089033285064
EX_2hyoxplac[fe],0.000925353709625,3.1777917887496e-05,0.00324766703375,0.000113236404175019
EX_2obut[fe],218.51104880908,136.851129877821,61.402081208328,55.4062908
EX_2omfuc[fe],0,0,0,0
EX_2omxyl[fe],0,0,0,0
EX_3ddlhept[fe],0,0,0,0
EX_4abut[fe],119.1822,136.917076,58.37924,55.4062908
EX_4hbz[fe],0.000203865247786358,7.00101273376497e-06,0.000715495531791149,2.49471822022507e-05
EX_4hpro_LT[fe],0,0,0,0
EX_C02528[fe],20,20,20,20
EX_Lcyst[fe],0,0,0,0
EX_Ser_Thr[fe],9,9,9,0.3051452
EX_T_antigen[fe],3,3,3,0.3051452
EX_Tn_antigen[fe],9,9,9,0.3051452
EX_Tyr_ggn[fe],0,0,0,0
EX_ac[fe],295.14428,239.965048,180.767788,63.2039268
EX_acald[fe],27.07728,109.2056,15.47812,0
EX_acerA[fe],0,0,0,0
EX_acgal[fe],17,17,17,6.3051452
EX_acgalglcur[fe],5,5,5,5
EX_acgalidour2s[fe],1,1,1,1
EX_acgalidour[fe],1,1,1,1
EX_acgam[fe],162.357261122858,215.62597472494,70.459348,56.1940052
EX_acmana[fe],85.3762218615063,0.810676,8.86154209348675,1.63848604696666
EX_acnam[fe],3,3,3,0.3051452
EX_ade[fe],73.2169982452105,69.1138806577215,20.08764,0.0755456
EX_adn[fe],67.664565804532,62.7429349621897,33.8487984211386,23.296669991905
EX_adocbl[fe],0,0,0,0
EX_ala_L[fe],150.470940126653,101.258184356348,144.878974652067,4.38536331504363
EX_alaasp[fe],0,0,0,0
EX_alagln[fe],0,0,0,0
EX_alaglu[fe],0,0,0,0
EX_alagly[fe],0,0,0,0
EX_alahis[fe],0,0,0,0
EX_alaleu[fe],0,0,0,0
EX_alathr[fe],0,0,0,0
EX_amylopect900[fe],0,0,0,0
EX_amylose300[fe],0,0,0,0
EX_apio_D[fe],0,0,0,0
EX_arab_L[fe],0,0,0,0
EX_arabinan101[fe],0,0,0,0
EX_arabinogal[fe],0,0,0,0
EX_arabinoxyl[fe],0,0,0,0
EX_arabttr[fe],0,0,0,0
EX_arg_L[fe],111.223012469184,141.873535062025,39.6886048024642,48.1312619054259
EX_arsenb[fe],0,0,0,0
EX_asn_L[fe],245.780818150104,239.055168837461,88.282220013694,59.9793566363746
EX_asp_L[fe],0,0,0,0
EX_bglc[fe],0,0,0,0
EX_btn[fe],0,0,0,0
EX_but[fe],0,0,0,0
EX_butso3[fe],0,0,0,0
EX_ca2[fe],0.00543905071120676,0.00355221284156571,0.00237592745441972,0.00119586863985433
EX_cbl1[fe],0,0,0,0
EX_cbl2[fe],0,0,0,0
EX_cd2[fe],0,0,0,0
EX_cellb[fe],0,0,0,0
EX_cgly[fe],0,0,0,0
EX_chol[fe],0,0,0,0
EX_cholate[fe],20,20,20,20
EX_chor[fe],76.5978118034413,78.2982632761678,18.9743162388114,0.0718754388438085
EX_chtbs[fe],0,0,0,0
EX_cit[fe],0,0,0,0
EX_cl[fe],0.00543905071117479,0.00355221284155505,0.00237592745440907,0.00119586863985433
EX_co2[fe],310.85316,248.414088,186.832868,63.2039268
EX_cobalt2[fe],0.00543905071120299,0.00355221284156515,0.00237592745442083,0.00119586863985388
EX_core2[fe],1,1,1,0.3051452
EX_core3[fe],1,1,1,0.3051452
EX_core4[fe],0,0,0,0
EX_core5[fe],0,0,0,0
EX_core6[fe],1,1,1,0.3051452
EX_core7[fe],0,0,0,0
EX_core8[fe],0,0,0,0
EX_cro4[fe],0,0,0,0
EX_csn[fe],0,0,0,0
EX_cspg_a[fe],0,0,0,0
EX_cspg_a_degr[fe],3,3,3,3
EX_cspg_ab_rest[fe],2,2,2,2
EX_cspg_b[fe],0,0,0,0
EX_cspg_b_degr[fe],1,1,1,1
EX_cspg_c[fe],0,0,0,0
EX_cspg_c_degr[fe],2,2,2,2
EX_cspg_c_rest[fe],1,1,1,1
EX_ctbt[fe],0,0,0,0
