,SRS011061,SRS011134,SRS012902,SRS054956
Bacteroides_cellulosilyticus_DSM_14838_2obut,-99.345048,-3.0321884,0.0,0.0
Bacteroides_cellulosilyticus_DSM_14838_ac,-99.345048,-3.0321884,0.0,0.0
Bacteroides_cellulosilyticus_DSM_14838_acgal,-6.0,-3.0321884,0.0,0.0
Bacteroides_cellulosilyticus_DSM_14838_acgalglcur,-5.0,-3.0321884,0.0,0.0
Bacteroides_cellulosilyticus_DSM_14838_acgalidour2s,-1.0,-1.0,0.0,0.0
Bacteroides_cellulosilyticus_DSM_14838_acgalidour,-1.0,-1.0,0.0,0.0
Bacteroides_cellulosilyticus_DSM_14838_acgam,-99.345048,-3.0321884,0.0,0.0
Bacteroides_cellulosilyticus_DSM_14838_adn,-97.66459596985825,-3.0263150571335746,0.0,0.0
Bacteroides_cellulosilyticus_DSM_14838_ala_L,-99.17320024055428,-3.026943299280361,0.0,0.0
Bacteroides_cellulosilyticus_DSM_14838_asn_L,-99.345048,-3.0321884,0.0,0.0
Bacteroides_cellulosilyticus_DSM_14838_ca2,0.0019393690883235373,5.919301033437726e-05,0.0,0.0
Bacteroides_cellulosilyticus_DSM_14838_cl,0.0019393690883235373,5.919301033437726e-05,0.0,0.0
Bacteroides_cellulosilyticus_DSM_14838_co2,-99.345048,-3.0321884,0.0,0.0
Bacteroides_cellulosilyticus_DSM_14838_cobalt2,0.0019393690883235373,5.919301033437726e-05,0.0,0.0
Bacteroides_cellulosilyticus_DSM_14838_cspg_a_degr,-3.0,-3.0,0.0,0.0
Bacteroides_cellulosilyticus_DSM_14838_cspg_ab_rest,-2.0,-2.0,0.0,0.0
Bacteroides_cellulosilyticus_DSM_14838_cspg_b_degr,-1.0,-1.0,0.0,0.0
Bacteroides_cellulosilyticus_DSM_14838_cspg_c_degr,-2.0,-2.0,0.0,0.0
Bacteroides_cellulosilyticus_DSM_14838_cspg_c_rest,-1.0,-1.0,0.0,0.0
