Net uptake,SRS011061,SRS012902,SRS011134,SRS054956
EX_12dgr180[fe],0,0,0,0
EX_12ppd_S[fe],0,0,0,0
EX_26dap_M[fe],0,0,0,0
EX_2hyoxplac[fe],0,0,0,0
EX_2obut[fe],0,0,0,0
EX_2omfuc[fe],0,0,0,0
EX_2omxyl[fe],0,0,0,0
EX_3ddlhept[fe],0,0,0,0
EX_4abut[fe],0,0,0,0
EX_4hbz[fe],0.000203865247786365,7.00101273376497e-06,0.00071549553179115,2.49471822022507e-05
EX_4hpro_LT[fe],0,0,0,0
EX_C02528[fe],0,0,0,0
EX_Lcyst[fe],0,0,0,0
EX_Ser_Thr[fe],0,0,0,0
EX_T_antigen[fe],0,0,0,0
EX_Tn_antigen[fe],0,0,0,0
EX_Tyr_ggn[fe],0,0,0,0
EX_ac[fe],0,0,0,0
EX_acald[fe],0,0,0,0
EX_acerA[fe],0,0,0,0
EX_acgal[fe],0,0,0,0
EX_acgalglcur[fe],0,0,0,0
EX_acgalidour2s[fe],0,0,0,0
EX_acgalidour[fe],0,0,0,0
EX_acgam[fe],0,0,0,0
EX_acmana[fe],0,0,0,0
EX_acnam[fe],0,0,0,0
EX_ade[fe],0,0,0,0
EX_adn[fe],0,0,0,0
EX_adocbl[fe],0,0,0,0
EX_ala_L[fe],29.7669,29.7669,29.7669,4.3913572
EX_alaasp[fe],0,0,0,0
EX_alagln[fe],0,0,0,0
EX_alaglu[fe],0,0,0,0
EX_alagly[fe],0,0,0,0
EX_alahis[fe],0,0,0,0
EX_alaleu[fe],0,0,0,0
EX_alathr[fe],0,0,0,0
EX_amylopect900[fe],0,0,0,0
EX_amylose300[fe],0,0,0,0
EX_apio_D[fe],0,0,0,0
EX_arab_L[fe],0,0,0,0
EX_arabinan101[fe],0,0,0,0
EX_arabinogal[fe],0,0,0,0
EX_arabinoxyl[fe],0,0,0,0
EX_arabttr[fe],0,0,0,0
EX_arg_L[fe],16.2815,16.2815,16.2815,4.69211779012018
EX_arsenb[fe],0,0,0,0
EX_asn_L[fe],0,0,0,0
EX_asp_L[fe],15.70888,8.44904,6.06508,0
EX_bglc[fe],0,0,0,0
EX_btn[fe],0.00014293,0.00014293,0.00014293,0.00014293
EX_but[fe],0,0,0,0
EX_butso3[fe],0,0,0,0
EX_ca2[fe],0.00543959467066912,0.00355256809837456,0.00237616507092753,0.00119598823867761
EX_cbl1[fe],0,0,0,0
EX_cbl2[fe],0,0,0,0
EX_cd2[fe],0,0,0,0
EX_cellb[fe],0,0,0,0
EX_cgly[fe],0,0,0,0
EX_chol[fe],0,0,0,0
EX_cholate[fe],0,0,0,0
EX_chor[fe],0,0,0,0
EX_chtbs[fe],0,0,0,0
EX_cit[fe],0,0,0,0
EX_cl[fe],0.0054395946706336,0.00355256809831417,0.00237616507092753,0.00119598823869183
EX_co2[fe],0,0,0,0
EX_cobalt2[fe],0.00543905071120293,0.00355221284156516,0.00237592745442091,0.00119586863985393
EX_core2[fe],0,0,0,0
EX_core3[fe],0,0,0,0
EX_core4[fe],0,0,0,0
EX_core5[fe],0,0,0,0
EX_core6[fe],0,0,0,0
EX_core7[fe],0,0,0,0
EX_core8[fe],0,0,0,0
EX_cro4[fe],0,0,0,0
EX_csn[fe],0,0,0,0
EX_cspg_a[fe],0,0,0,0
EX_cspg_a_degr[fe],0,0,0,0
EX_cspg_ab_rest[fe],0,0,0,0
EX_cspg_b[fe],0,0,0,0
EX_cspg_b_degr[fe],0,0,0,0
EX_cspg_c[fe],0,0,0,0
EX_cspg_c_degr[fe],0,0,0,0
EX_cspg_c_rest[fe],0,0,0,0
EX_ctbt[fe],0,0,0,0
EX_cu2[fe],0.00543959467067,0.003552568098375,0.00237616507092796,0.0011959882386776
EX_cys_L[fe],6.0095,6.0095,6.0095,6.0095
EX_cytd[fe],0,0,0,0
EX_dad_2[fe],0,0,0,0
EX_dcyt[fe],0,0,0,0
EX_ddca[fe],10.7672,10.7672,10.7672,10.7672
EX_dextran40[fe],0,0,0,0
EX_dextrin[fe],0,0,0,0
EX_dgchol[fe],0,0,0,0
EX_dgsn[fe],0,0,0,0
EX_din[fe],0,0,0,0
EX_dms[fe],0,0,0,0
EX_dmso[fe],0,0,0,0
