,SRS011061,SRS011134,SRS012902,SRS054956
Bacteroides_cellulosilyticus_DSM_14838_2obut,-99.3452,-3.0322,0,0
Bacteroides_cellulosilyticus_DSM_14838_ac,-99.3452,-3.0322,0,0
Bacteroides_cellulosilyticus_DSM_14838_acgal,-6,-3.0322,0,0
Bacteroides_cellulosilyticus_DSM_14838_acgalglcur,-5,-3.0322,0,0
Bacteroides_cellulosilyticus_DSM_14838_acgalidour2s,-1,-1,0,0
Bacteroides_cellulosilyticus_DSM_14838_acgalidour,-1,-1,0,0
Bacteroides_cellulosilyticus_DSM_14838_acgam,-99.3452,-3.0322,0,0
Bacteroides_cellulosilyticus_DSM_14838_adn,-97.6646,-3.0263,0,0
Bacteroides_cellulosilyticus_DSM_14838_ala_L,-99.1734,-3.0269,0,0
Bacteroides_cellulosilyticus_DSM_14838_asn_L,-99.3452,-3.0322,0,0
Bacteroides_cellulosilyticus_DSM_14838_ca2,0.0019394,5.9193e-05,0,0
Bacteroides_cellulosilyticus_DSM_14838_cl,0.0019394,5.9193e-05,0,0
Bacteroides_cellulosilyticus_DSM_14838_co2,-99.3452,-3.0322,0,0
Bacteroides_cellulosilyticus_DSM_14838_cobalt2,0.0019394,5.9193e-05,0,0
Bacteroides_cellulosilyticus_DSM_14838_cspg_a_degr,-3,-3,0,0
Bacteroides_cellulosilyticus_DSM_14838_cspg_ab_rest,-2,-2,0,0
Bacteroides_cellulosilyticus_DSM_14838_cspg_b_degr,-1,-1,0,0
Bacteroides_cellulosilyticus_DSM_14838_cspg_c_degr,-2,-2,0,0
Bacteroides_cellulosilyticus_DSM_14838_cspg_c_rest,-1,-1,0,0
Bacteroides_cellulosilyticus_DSM_14838_cu2,0.0019394,5.9193e-05,0,0
Bacteroides_cellulosilyticus_DSM_14838_cytd,-96.5914,-3.0297,0,0
Bacteroides_cellulosilyticus_DSM_14838_dad_2,-61.8636,-3.0322,0,0
Bacteroides_cellulosilyticus_DSM_14838_dcyt,-99.3452,-3.0322,0,0
Bacteroides_cellulosilyticus_DSM_14838_fe2,0.0019394,5.9193e-05,0,0
Bacteroides_cellulosilyticus_DSM_14838_for,-99.3452,-3.0322,0,0
Bacteroides_cellulosilyticus_DSM_14838_fru,-99.3452,-3.0322,0,0
Bacteroides_cellulosilyticus_DSM_14838_gam26s,-1,-1,0,0
Bacteroides_cellulosilyticus_DSM_14838_gam,-4,-2.7802,0,0
Bacteroides_cellulosilyticus_DSM_14838_glcur,-9,-3.0322,0,0
Bacteroides_cellulosilyticus_DSM_14838_gsn,-53.3937,-2.5141,0,0
Bacteroides_cellulosilyticus_DSM_14838_h2,-99.3452,-3.0322,0,0
Bacteroides_cellulosilyticus_DSM_14838_h2o,-99.3452,-3.0322,0,0
Bacteroides_cellulosilyticus_DSM_14838_h,-99.3452,-3.0322,0,0
Bacteroides_cellulosilyticus_DSM_14838_ha_deg1,-1,-1,0,0
Bacteroides_cellulosilyticus_DSM_14838_ha_pre1,-1,-1,0,0
