,SRS011061,SRS012902,SRS011134,SRS054956
EX_12dgr180[fe],0.0,0.0,0.0,0.0
EX_12ppd_S[fe],0.0,0.0,0.0,0.0
EX_26dap_M[fe],0.0,0.0,0.0,0.0
EX_2hyoxplac[fe],0.0,0.0,0.0,0.0
EX_2obut[fe],0.0,0.0,0.0,0.0
EX_2omfuc[fe],0.0,0.0,0.0,0.0
EX_2omxyl[fe],0.0,0.0,0.0,0.0
EX_3ddlhept[fe],0.0,0.0,0.0,0.0
EX_4abut[fe],0.0,0.0,0.0,0.0
EX_4hbz[fe],0.00020386527565197094,7.001012733709498e-06,0.0007154946029288565,2.4947169817521593e-05
EX_4hpro_LT[fe],0.0,0.0,0.0,0.0
EX_C02528[fe],0.0,0.0,0.0,0.0
EX_Lcyst[fe],0.0,0.0,0.0,0.0
EX_Ser_Thr[fe],0.0,0.0,0.0,0.0
EX_T_antigen[fe],0.0,0.0,0.0,0.0
EX_Tn_antigen[fe],0.0,0.0,0.0,0.0
EX_Tyr_ggn[fe],0.0,0.0,0.0,0.0
EX_ac[fe],0.0,0.0,0.0,0.0
EX_acald[fe],0.0,0.0,0.0,0.0
EX_acerA[fe],0.0,0.0,0.0,0.0
EX_acgal[fe],0.0,0.0,0.0,0.0
EX_acgalglcur[fe],0.0,0.0,0.0,0.0
EX_acgalidour2s[fe],0.0,0.0,0.0,0.0
EX_acgalidour[fe],0.0,0.0,0.0,0.0
EX_acgam[fe],0.0,0.0,0.0,0.0
EX_acmana[fe],0.0,0.0,0.0,0.0
EX_acnam[fe],0.0,0.0,0.0,0.0
EX_ade[fe],0.0,0.0,0.0,0.0
EX_adn[fe],0.0,0.0,0.0,0.0
EX_adocbl[fe],2.8868400484e-06,2.8868400484e-06,2.8868400484e-06,2.8868400484e-06
EX_ala_L[fe],29.76685089322192,29.76685089322192,29.76685089322192,4.391354
EX_alaasp[fe],0.0,0.0,0.0,0.0
EX_alagln[fe],0.0,0.0,0.0,0.0
EX_alaglu[fe],0.0,0.0,0.0,0.0
EX_alagly[fe],0.0,0.0,0.0,0.0
EX_alahis[fe],0.0,0.0,0.0,0.0
EX_alaleu[fe],0.0,0.0,0.0,0.0
EX_alathr[fe],0.0,0.0,0.0,0.0
EX_amylopect900[fe],0.0,0.0,0.0,0.0
EX_amylose300[fe],0.0,0.0,0.0,0.0
EX_apio_D[fe],0.0,0.0,0.0,0.0
EX_arab_L[fe],0.0,0.0,0.0,0.0
EX_arabinan101[fe],0.0,0.0,0.0,0.0
EX_arabinogal[fe],0.0,0.0,0.0,0.0
EX_arabinoxyl[fe],0.0,0.0,0.0,0.0
EX_arabttr[fe],0.0,0.0,0.0,0.0
EX_arg_L[fe],16.2815016817068,16.2815016817068,16.2815016817068,4.692118142132985
EX_arsenb[fe],0.0,0.0,0.0,0.0
EX_asn_L[fe],0.0,0.0,0.0,0.0
EX_asp_L[fe],15.7088636,8.4490224,6.065076400000002,0.0
EX_bglc[fe],0.0,0.0,0.0,0.0
EX_btn[fe],0.00014293306239504,0.00014293306239504,0.00014293306239504,0.00014293306239504
EX_but[fe],0.0,0.0,0.0,0.0
EX_butso3[fe],0.0,0.0,0.0,0.0
EX_ca2[fe],0.005439594737039144,0.003552570711214287,0.0023761631825127694,0.0011959869611661844
EX_cbl1[fe],0.0,0.0,0.0,0.0
EX_cbl2[fe],0.0,0.0,0.0,0.0
EX_cd2[fe],0.0,0.0,0.0,0.0
EX_cellb[fe],0.0,0.0,0.0,0.0
EX_cgly[fe],0.0,0.0,0.0,0.0
EX_chol[fe],0.0,0.0,0.0,0.0
EX_cholate[fe],0.0,0.0,0.0,0.0
EX_chor[fe],0.0,0.0,0.0,0.0
EX_chtbs[fe],0.0,0.0,0.0,0.0
EX_cit[fe],0.0,0.0,0.0,0.0
EX_cl[fe],0.005439594737083553,0.0035525707111787597,0.0023761631825323093,0.0011959869612496732
EX_co2[fe],0.0,0.0,0.0,0.0
EX_cobalt2[fe],0.005439050777566595,0.0035522154541413778,0.0023759255661939486,0.0011958673624728829
EX_core2[fe],0.0,0.0,0.0,0.0
EX_core3[fe],0.0,0.0,0.0,0.0
EX_core4[fe],0.0,0.0,0.0,0.0
EX_core5[fe],0.0,0.0,0.0,0.0
EX_core6[fe],0.0,0.0,0.0,0.0
EX_core7[fe],0.0,0.0,0.0,0.0
EX_core8[fe],0.0,0.0,0.0,0.0
EX_cro4[fe],0.0,0.0,0.0,0.0
EX_csn[fe],0.0,0.0,0.0,0.0
EX_cspg_a[fe],0.0,0.0,0.0,0.0
EX_cspg_a_degr[fe],0.0,0.0,0.0,0.0
EX_cspg_ab_rest[fe],0.0,0.0,0.0,0.0
EX_cspg_b[fe],0.0,0.0,0.0,0.0
EX_cspg_b_degr[fe],0.0,0.0,0.0,0.0
EX_cspg_c[fe],0.0,0.0,0.0,0.0
EX_cspg_c_degr[fe],0.0,0.0,0.0,0.0
EX_cspg_c_rest[fe],0.0,0.0,0.0,0.0
EX_ctbt[fe],0.0,0.0,0.0,0.0
EX_cu2[fe],0.005439594737040296,0.0035525707112125,0.0023761631825122004,0.0011959869611689947
EX_cys_L[fe],6.00946531064344,6.00946531064344,6.00946531064344,6.00946531064344
EX_cytd[fe],0.0,0.0,0.0,0.0
EX_dad_2[fe],0.0,0.0,0.0,0.0
EX_dcyt[fe],0.0,0.0,0.0,0.0
EX_ddca[fe],10.767237737431842,10.767237737431842,10.767237737431842,10.767237737431842
EX_dextran40[fe],0.0,0.0,0.0,0.0
EX_dextrin[fe],0.0,0.0,0.0,0.0
EX_dgchol[fe],0.0,0.0,0.0,0.0
EX_dgsn[fe],0.0,0.0,0.0,0.0
EX_din[fe],0.0,0.0,0.0,0.0
EX_dms[fe],0.0,0.0,0.0,0.0
EX_dmso[fe],0.0,0.0,0.0,0.0
EX_drib[fe],0.0,0.0,0.0,0.0
EX_dsT_antigen[fe],0.0,0.0,0.0,0.0
EX_duri[fe],0.0,0.0,0.0,0.0
EX_ethso3[fe],0.0,0.0,0.0,0.0
EX_etoh[fe],27.07728800000001,109.205534,15.478104000000002,0.0
EX_f1a[fe],0.0,0.0,0.0,0.0
EX_fe2[fe],0.08739905094457841,0.08739905094457841,0.08739905094457841,0.08739905094457841
EX_fe3[fe],0.00543959473704031,0.0035525707112125104,0.0023761631825122004,0.0011959869611690155
EX_fol[fe],0.000611595826955239,0.00010769103259728,0.002146483808802135,7.484899435194644e-05
EX_for[fe],0.0,0.0,0.0,0.0
EX_fru[fe],85.204692158292,85.204692158292,56.80187600000001,55.330679999999994
EX_fuc_L[fe],0.0,0.0,0.0,0.0
EX_fum[fe],0.0,0.0,0.0,0.0
EX_gal[fe],0.023979231321316723,0.023979231321316723,0.023979231321316723,0.023979231321316723
EX_galmannan[fe],0.0,0.0,0.0,0.0
EX_galt[fe],0.0,0.0,0.0,0.0
EX_galur[fe],0.0,0.0,0.0,0.0
EX_gam26s[fe],0.0,0.0,0.0,0.0
EX_gam[fe],0.0,0.0,0.0,0.0
EX_gbbtn[fe],0.0,0.0,0.0,0.0
EX_gcald[fe],0.0,0.0,0.0,0.0
EX_gchola[fe],0.0,0.0,0.0,0.0
EX_glc_D[fe],108.46428010406561,108.46428010406561,75.0688308,56.26948399999999
EX_glcmannan[fe],0.0,0.0,0.0,0.0
EX_glcn[fe],0.0,0.0,0.0,0.0
EX_glcur[fe],0.0,0.0,0.0,0.0
EX_gln_L[fe],0.0,0.0,0.0,0.0
EX_glu_L[fe],82.49776042233441,82.49776042233441,82.49776042233441,4.086208799999994
EX_gly[fe],29.411749033524885,29.411749033524885,29.411749033524885,29.411749033524885
EX_glyasn[fe],0.0,0.0,0.0,0.0
EX_glyasp[fe],0.0,0.0,0.0,0.0
EX_glyb[fe],0.0,0.0,0.0,0.0
EX_glyc[fe],0.0,0.0,0.0,0.0
EX_glyclt[fe],0.0,0.0,0.0,0.0
EX_glycys[fe],0.0,0.0,0.0,0.0
EX_glygln[fe],0.0,0.0,0.0,0.0
EX_glyglu[fe],0.0,0.0,0.0,0.0
EX_glygn2[fe],0.0,0.0,0.0,0.0
EX_glygn4[fe],0.0,0.0,0.0,0.0
EX_glygn5[fe],0.0,0.0,0.0,0.0
EX_glyleu[fe],0.0,0.0,0.0,0.0
EX_glymet[fe],0.0,0.0,0.0,0.0
EX_glyphe[fe],0.0,0.0,0.0,0.0
EX_glypro[fe],0.0,0.0,0.0,0.0
EX_glytyr[fe],0.0,0.0,0.0,0.0
EX_gncore1[fe],0.0,0.0,0.0,0.0
EX_gncore2[fe],0.0,0.0,0.0,0.0
EX_gsn[fe],0.0,0.0,0.0,0.0
EX_gthox[fe],0.00010193263782603907,3.500506366854749e-06,0.00035774730146702246,1.2473584908760797e-05
EX_gua[fe],0.0,0.0,0.0,0.0
EX_h2[fe],0.0,0.0,0.0,0.0
EX_h2o[fe],310.85317039999063,248.4141820000077,186.8326892000041,63.20386040001176
EX_h2s[fe],0.0,0.0,0.0,0.0
EX_h[fe],0.0,0.0,0.0,0.0
EX_ha[fe],0.0,0.0,0.0,0.0
EX_ha_deg1[fe],0.0,0.0,0.0,0.0
EX_ha_pre1[fe],0.0,0.0,0.0,0.0
EX_hdca[fe],74.22805375228889,74.22805375228889,74.22805375228889,63.16947618339582
EX_hexs[fe],0.0,0.0,0.0,0.0
EX_hg2[fe],0.0,0.0,0.0,0.0
EX_his_L[fe],0.00885655678603392,0.002135663883267469,0.01972142864529225,0.0006386598512637676
EX_homogal[fe],0.0,0.0,0.0,0.0
EX_hspg[fe],0.0,0.0,0.0,0.0
EX_hspg_degr_10[fe],0.0,0.0,0.0,0.0
EX_hspg_degr_11[fe],0.0,0.0,0.0,0.0
EX_hspg_degr_12[fe],0.0,0.0,0.0,0.0
EX_hspg_degr_13[fe],0.0,0.0,0.0,0.0
EX_hspg_degr_14[fe],0.0,0.0,0.0,0.0
EX_hspg_degr_15[fe],0.0,0.0,0.0,0.0
EX_hspg_degr_1[fe],0.0,0.0,0.0,0.0
EX_hspg_degr_2[fe],0.0,0.0,0.0,0.0
EX_hspg_degr_3[fe],0.0,0.0,0.0,0.0
EX_hspg_degr_4[fe],0.0,0.0,0.0,0.0
